Date/Time,Power Delivered (W)
03/26/2023 11:20 PM EDT,0
03/26/2023 11:25 PM EDT,0
03/26/2023 11:30 PM EDT,0
03/26/2023 11:35 PM EDT,0
03/26/2023 11:40 PM EDT,0
03/26/2023 11:45 PM EDT,0
03/26/2023 11:50 PM EDT,0
03/26/2023 11:55 PM EDT,0
03/27/2023 12:00 AM EDT,0
03/27/2023 12:05 AM EDT,0
03/27/2023 12:10 AM EDT,0
03/27/2023 12:15 AM EDT,0
03/27/2023 12:20 AM EDT,0
03/27/2023 12:25 AM EDT,0
03/27/2023 12:30 AM EDT,0
03/27/2023 12:35 AM EDT,0
03/27/2023 12:40 AM EDT,0
03/27/2023 12:45 AM EDT,0
03/27/2023 12:50 AM EDT,0
03/27/2023 12:55 AM EDT,0
03/27/2023 01:00 AM EDT,0
03/27/2023 01:05 AM EDT,0
03/27/2023 01:10 AM EDT,0
03/27/2023 01:15 AM EDT,0
03/27/2023 01:20 AM EDT,0
03/27/2023 01:25 AM EDT,0
03/27/2023 01:30 AM EDT,0
03/27/2023 01:35 AM EDT,0
03/27/2023 01:40 AM EDT,0
03/27/2023 01:45 AM EDT,0
03/27/2023 01:50 AM EDT,0
03/27/2023 01:55 AM EDT,0
03/27/2023 02:00 AM EDT,0
03/27/2023 02:05 AM EDT,0
03/27/2023 02:10 AM EDT,0
03/27/2023 02:15 AM EDT,0
03/27/2023 02:20 AM EDT,0
03/27/2023 02:25 AM EDT,0
03/27/2023 02:30 AM EDT,0
03/27/2023 02:35 AM EDT,0
03/27/2023 02:40 AM EDT,0
03/27/2023 02:45 AM EDT,0
03/27/2023 02:50 AM EDT,0
03/27/2023 02:55 AM EDT,0
03/27/2023 03:00 AM EDT,0
03/27/2023 03:05 AM EDT,0
03/27/2023 03:10 AM EDT,0
03/27/2023 03:15 AM EDT,0
03/27/2023 03:20 AM EDT,0
03/27/2023 03:25 AM EDT,0
03/27/2023 03:30 AM EDT,0
03/27/2023 03:35 AM EDT,0
03/27/2023 03:40 AM EDT,0
03/27/2023 03:45 AM EDT,0
03/27/2023 03:50 AM EDT,0
03/27/2023 03:55 AM EDT,0
03/27/2023 04:00 AM EDT,0
03/27/2023 04:05 AM EDT,0
03/27/2023 04:10 AM EDT,0
03/27/2023 04:15 AM EDT,0
03/27/2023 04:20 AM EDT,0
03/27/2023 04:25 AM EDT,0
03/27/2023 04:30 AM EDT,0
03/27/2023 04:35 AM EDT,0
03/27/2023 04:40 AM EDT,0
03/27/2023 04:45 AM EDT,0
03/27/2023 04:50 AM EDT,0
03/27/2023 04:55 AM EDT,0
03/27/2023 05:00 AM EDT,0
03/27/2023 05:05 AM EDT,0
03/27/2023 05:10 AM EDT,0
03/27/2023 05:15 AM EDT,0
03/27/2023 05:20 AM EDT,0
03/27/2023 05:25 AM EDT,0
03/27/2023 05:30 AM EDT,0
03/27/2023 05:35 AM EDT,0
03/27/2023 05:40 AM EDT,0
03/27/2023 05:45 AM EDT,0
03/27/2023 05:50 AM EDT,0
03/27/2023 05:55 AM EDT,0
03/27/2023 06:00 AM EDT,0
03/27/2023 06:05 AM EDT,0
03/27/2023 06:10 AM EDT,0
03/27/2023 06:15 AM EDT,0
03/27/2023 06:20 AM EDT,0
03/27/2023 06:25 AM EDT,0
03/27/2023 06:30 AM EDT,0
03/27/2023 06:35 AM EDT,0
03/27/2023 06:40 AM EDT,0
03/27/2023 06:45 AM EDT,0
03/27/2023 06:50 AM EDT,0
03/27/2023 06:55 AM EDT,0
03/27/2023 07:00 AM EDT,0
03/27/2023 07:05 AM EDT,0
03/27/2023 07:10 AM EDT,0
03/27/2023 07:15 AM EDT,0
03/27/2023 07:20 AM EDT,0
03/27/2023 07:25 AM EDT,0
03/27/2023 07:30 AM EDT,0
03/27/2023 07:35 AM EDT,0
03/27/2023 07:40 AM EDT,0
03/27/2023 07:45 AM EDT,24
03/27/2023 07:50 AM EDT,24
03/27/2023 07:55 AM EDT,48
03/27/2023 08:00 AM EDT,48
03/27/2023 08:05 AM EDT,96
03/27/2023 08:10 AM EDT,168
03/27/2023 08:15 AM EDT,288
03/27/2023 08:20 AM EDT,324
03/27/2023 08:25 AM EDT,276
03/27/2023 08:30 AM EDT,300
03/27/2023 08:35 AM EDT,300
03/27/2023 08:40 AM EDT,312
03/27/2023 08:45 AM EDT,264
03/27/2023 08:50 AM EDT,360
03/27/2023 08:55 AM EDT,432
03/27/2023 09:00 AM EDT,336
03/27/2023 09:05 AM EDT,492
03/27/2023 09:10 AM EDT,420
03/27/2023 09:15 AM EDT,576
03/27/2023 09:20 AM EDT,360
03/27/2023 09:25 AM EDT,360
03/27/2023 09:30 AM EDT,312
03/27/2023 09:35 AM EDT,192
03/27/2023 09:40 AM EDT,336
03/27/2023 09:45 AM EDT,360
03/27/2023 09:50 AM EDT,360
03/27/2023 09:55 AM EDT,672
03/27/2023 10:00 AM EDT,"1,080"
03/27/2023 10:05 AM EDT,"1,224"
03/27/2023 10:10 AM EDT,"1,128"
03/27/2023 10:15 AM EDT,936
03/27/2023 10:20 AM EDT,672
03/27/2023 10:25 AM EDT,696
03/27/2023 10:30 AM EDT,492
03/27/2023 10:35 AM EDT,600
03/27/2023 10:40 AM EDT,612
03/27/2023 10:45 AM EDT,624
03/27/2023 10:50 AM EDT,696
03/27/2023 10:55 AM EDT,900
03/27/2023 11:00 AM EDT,"1,080"
03/27/2023 11:05 AM EDT,"1,392"
03/27/2023 11:10 AM EDT,"1,524"
